player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3124,Jérémy Sorbon,,15,"{'id': 78, 'name': 'France'}",142,Guingamp
3125,Danilo Fernando Avelar,Danilo Avelar,26,"{'id': 31, 'name': 'Brazil'}",241,Torino
3130,Gaël Kakuta,,12,"{'id': 52, 'name': 'Congo, (Kinshasa)'}",360,Rayo Vallecano
3135,Chang-Hoon Kwon,Kwon Chang-Hoon,22,"{'id': 121, 'name': 'Korea\xa0(South)'}",791,South Korea
3136,Rémi Walter,,18,"{'id': 78, 'name': 'France'}",136,OGC Nice
3138,Abdoulaye Touré,,19,"{'id': 95, 'name': 'Guinea'}",144,Nantes
3139,Chidozie Collins Awaziem,Chidozie Awaziem,12,"{'id': 166, 'name': 'Nigeria'}",205,Leganés
3140,François Bellugou,,6,"{'id': 78, 'name': 'France'}",165,Lorient
3141,André-Frank Zambo Anguissa,André Zambo Anguissa,19,"{'id': 39, 'name': 'Cameroon'}",222,Villarreal
3143,Andrei Girotto,,3,"{'id': 31, 'name': 'Brazil'}",144,Nantes
3144,Léo Dubois,,24,"{'id': 78, 'name': 'France'}",771,France
3145,Keita Baldé Diao,Keita Baldé,14,"{'id': 202, 'name': 'Senegal'}",236,Lazio
3149,Wylan Jean-Claude Cyprien,,8,"{'id': 78, 'name': 'France'}",144,Nantes
3150,Jaroslav Plašil,,18,"{'id': 60, 'name': 'Czech Republic'}",146,Bordeaux
3151,Jules Iloki,,20,"{'id': 78, 'name': 'France'}",144,Nantes
3153,Ádám Lang,,2,"{'id': 103, 'name': 'Hungary'}",916,Hungary
3154,Miguel Ângelo da Silva Rocha,Xeka,8,"{'id': 183, 'name': 'Portugal'}",143,Lille
3156,Rafael Pereira da Silva,Rafael,21,"{'id': 31, 'name': 'Brazil'}",39,Manchester United
3159,Gregory Leigh,Greg Leigh,22,"{'id': 113, 'name': 'Jamaica'}",2305,Jamaica
3160,Rene Krhin,,21,"{'id': 208, 'name': 'Slovenia'}",373,Córdoba CF
3161,Chaouki Ben Saada,,18,"{'id': 232, 'name': 'Tunisia'}",133,Troyes
3162,Gnaly Maxwell Cornet,Maxwel Cornet,27,"{'id': 55, 'name': ""Côte d'Ivoire""}",137,Lyon
3163,Mariano Díaz Mejía,Mariano Díaz,18,"{'id': 64, 'name': 'Dominican Republic'}",220,Real Madrid
3164,Marcelo Antônio Guedes Filho,Marcelo,15,"{'id': 31, 'name': 'Brazil'}",146,Bordeaux
3165,Emmanuel Rivière,,12,"{'id': 143, 'name': 'Martinique'}",422,Osasuna
3166,Marco Verratti,,6,"{'id': 112, 'name': 'Italy'}",914,Italy
3167,Antonio Rüdiger,,2,"{'id': 85, 'name': 'Germany'}",770,Germany
3168,João Filipe Iria Santos Moutinho,João Moutinho,8,"{'id': 183, 'name': 'Portugal'}",780,Portugal
3174,Lévy Koffi Djidji,Koffi Djidji,26,"{'id': 55, 'name': ""Côte d'Ivoire""}",144,Nantes
3175,Eiji Kawashima,,16,"{'id': 114, 'name': 'Japan'}",138,Strasbourg
3176,Thomas Meunier,,15,"{'id': 22, 'name': 'Belgium'}",782,Belgium
3179,Nolan Roux,,9,"{'id': 78, 'name': 'France'}",135,Saint-Étienne
3181,Lassana Diarra,Lass Diarra,6,"{'id': 78, 'name': 'France'}",147,Marseille
3184,Enzo Crivelli,,27,"{'id': 78, 'name': 'France'}",146,Bordeaux
3185,Thomas Mangani,,5,"{'id': 78, 'name': 'France'}",145,Angers
3186,Julian Draxler,,23,"{'id': 85, 'name': 'Germany'}",131,Paris Saint-Germain
